YEAR;MO;DY;ALLSKY_SFC_SW_DIFF;ALLSKY_SFC_SW_DWN;CLRSKY_SFC_SW_DWN;ALLSKY_SFC_SW_DNI;ALLSKY_KT;ALLSKY_SFC_LW_DWN;T2MDEW;T2MWET;TS;QV2M;RH2M;PRECTOTCORR;PS;WS10M;WS10M_MAX;WS50M;ALLSKY_SFC_UV_INDEX;ALLSKY_SFC_PAR_TOT
2015;3;3;17.042;38.683;78.391;27.377;0.37;7.987;15.29;16.39;18.05;13.04;88.37;9.7;83.7;1.66;2.96;2.92;1.99;17.923
2015;3;4;17.378;3.733;78.077;23.952;0.35;77.489;14.84;16.37;18.36;12.73;83.75;5.17;83.69;1.84;2.93;3.15;1.78;1.698
2015;3;5;19.486;34.039;7.823;14.126;0.32;77.822;14.47;15.79;17.59;12.41;85.69;5.79;83.77;1.77;2.77;3.29;1.68;15.636
2015;3;6;18.991;27.758;78.725;0.5138;0.26;80.549;15.27;16.53;18.39;13.07;86.47;7.25;83.79;2.04;2.77;3.51;1.42;12.874
2015;3;7;16.073;23.134;7.595;0.4865;0.22;79.932;16.08;16.65;17.53;13.72;93.4;28.13;83.8;1.32;1.73;2.23;1.19;10.963
2015;3;8;16.313;28.627;71.268;10.238;0.27;78.031;15.47;16.41;17.92;13.19;89.67;3.63;83.71;1.5;2.56;2.75;1.21;12.977
2015;3;9;17.146;3.258;77.839;16.318;0.31;80.018;15.87;16.9;18.48;13.55;88.91;4.14;83.7;1.26;2.14;2.26;1.64;15.058
2015;3;10;16.106;29.458;78.725;13.997;0.28;81.142;15.52;16.31;17.57;13.24;91.2;9.27;83.7;1.61;2.28;2.68;1.63;13.735
2015;3;11;17.496;31.082;78.838;14.964;0.29;82.308;15.63;16.45;17.69;13.36;90.83;17.38;83.75;1.89;3.24;3.3;1.65;14.292
2015;3;12;18.499;29.614;76.442;0.9089;0.28;78.979;15.93;16.77;18.06;13.59;90.7;9.13;83.79;1.59;2.84;2.67;1.51;13.738
2015;3;13;20.383;34.562;77.201;11.575;0.33;78.406;15.8;17.06;18.82;13.52;86.69;2.87;83.63;1.51;2.98;2.7;1.73;15.854
2015;3;14;1.985;32.045;7.573;0.9038;0.3;84.917;15.4;16.65;17.79;13.16;86.02;13.24;83.67;1.42;2.34;2.44;1.71;15.089
2015;3;15;15.139;21.838;76.946;0.3917;0.21;78.701;16.1;17.2;18.83;13.76;88.12;22.87;83.77;1.85;3.18;3.4;1.23;10.354
2015;3;16;2.179;35.664;75.175;10.296;0.34;82.781;14.6;16.03;17.85;12.49;84.64;1.73;83.85;1.56;2.43;2.56;1.85;16.589
2015;3;17;19.932;34.714;7.807;11.962;0.33;79.054;16.01;17.34;18.51;13.69;85.4;15.37;83.8;1.46;3.0;2.28;1.84;16.102
2015;3;18;1.619;21.667;77.095;0.0523;0.21;78.658;16.79;17.25;17.64;14.36;94.72;13.92;83.81;1.28;2.51;2.13;1.17;10.282
2015;3;19;21.881;3.095;79.644;0.3655;0.29;80.227;15.46;16.66;18.21;13.25;87.3;20.34;83.82;1.79;3.38;3.16;1.72;14.525
2015;3;20;18.108;25.598;80.798;0.2614;0.24;75.058;15.28;16.11;16.98;13.05;90.66;15.18;83.88;1.3;2.06;2.34;1.46;1.205
2015;3;21;20.345;46.445;78.252;31.951;0.44;77.818;15.6;17.09;18.45;13.38;84.11;9.39;83.82;1.68;2.94;2.66;2.34;21.691
2015;3;22;21.583;3.043;79.121;0.2707;0.29;75.814;14.88;15.82;17.03;12.71;89.48;11.99;83.93;1.45;2.23;2.64;1.64;14.244
2015;3;23;19.675;41.899;76.243;25.982;0.4;77.388;14.89;16.47;18.49;12.77;83.41;1.66;83.94;2.15;3.11;3.91;2.11;1.939
2015;3;24;21.283;44.347;78.869;27.626;0.42;78.442;15.78;16.89;18.39;13.46;88.19;13.88;84.03;1.65;3.2;2.83;2.27;20.522
2015;3;25;20.861;35.311;77.674;10.334;0.34;80.642;14.7;15.97;17.56;12.62;86.29;23.51;83.99;1.67;2.35;3.02;1.88;16.399
2015;3;26;20.479;33.461;76.085;0.7992;0.32;78.994;15.11;16.56;18.2;13.03;84.53;11.54;83.87;2.13;3.0;3.33;1.64;15.326
2015;3;27;2.064;35.772;73.315;1.211;0.34;80.686;15.22;16.64;18.56;13.02;84.82;1.55;83.95;1.96;3.06;3.33;1.6;16.116
2015;3;28;22.714;34.718;73.078;0.9329;0.33;78.756;15.49;16.82;18.51;13.21;85.61;13.63;84.04;1.82;2.69;3.18;1.6;15.737
2015;3;29;22.334;33.672;75.264;0.8602;0.32;73.874;15.94;16.51;17.41;13.54;93.45;21.26;84.1;1.45;2.02;2.38;1.65;15.262
2015;3;30;22.973;39.372;72.953;1.351;0.38;81.331;16.09;17.47;18.85;13.76;85.25;1.16;83.9;1.47;3.18;2.2;1.86;18.437
2015;3;31;20.213;35.453;76.147;16.195;0.34;77.198;16.87;17.43;18.25;14.41;93.68;8.49;83.86;1.87;3.48;3.34;1.73;15.965
2015;4;1;21.634;33.936;73.267;0.9624;0.33;80.006;15.35;16.45;18.09;13.07;88.07;7.85;83.93;1.27;2.31;2.17;1.61;15.703
2015;4;2;17.719;2.484;7.195;0.2834;0.24;77.938;14.26;15.46;17.21;12.18;86.79;25.76;83.98;1.33;2.0;2.51;1.23;11.544
2015;4;3;23.465;42.151;75.197;18.828;0.41;77.302;14.63;16.15;18.14;12.49;83.85;0.58;83.82;1.37;2.24;2.5;1.96;19.039
2015;4;4;23.246;38.503;73.382;13.248;0.37;79.399;14.99;16.63;18.9;12.89;82.89;7.86;83.65;1.6;2.52;2.87;1.76;17.465
2015;4;5;20.534;34.774;77.537;0.9583;0.34;7.973;16.35;17.21;18.35;13.97;90.55;20.67;83.71;1.52;3.04;2.55;1.89;15.876
2015;4;6;18.953;35.424;75.715;18.773;0.34;78.485;15.15;16.29;18.03;12.98;87.42;12.22;83.79;1.98;3.02;3.71;1.8;16.034
2015;4;7;17.842;31.394;75.482;1.129;0.31;75.329;14.99;15.9;17.54;12.77;89.98;21.57;83.85;1.15;2.03;1.95;1.61;14.388
2015;4;8;21.036;3.169;68.772;0.6545;0.31;77.916;14.52;15.69;17.55;12.42;87.12;1.97;83.76;1.7;2.66;2.85;1.4;1.435
2015;4;9;21.317;41.731;7.615;25.627;0.41;7.657;15.27;16.39;18.18;13.05;87.87;1.95;83.8;1.6;2.64;2.88;2.01;18.718
2015;4;10;20.664;37.574;73.608;15.132;0.37;7.867;15.81;16.89;18.58;13.53;88.27;2.12;83.86;2.24;3.11;3.74;1.8;17.131
2015;4;11;19.522;31.548;69.302;0.9043;0.31;77.849;15.02;15.57;16.46;12.8;93.53;4.17;84.01;1.89;3.14;3.28;1.44;14.256
